idJurisdicao,nome,ativo,idOrgaoPje,id,table
178,1º Vara da Comarca de Caicó,True,227,1078,orgao_julgador
178,2º Vara da Comarca de Caicó,True,228,1079,orgao_julgador
178,3º Vara da Comarca de Caicó,True,229,1080,orgao_julgador
215,1º Vara da Comarca de Pau dos Ferros,True,230,1081,orgao_julgador
215,2º Vara da Comarca de Pau dos Ferros,True,231,1082,orgao_julgador
215,3º Vara da Comarca de Pau dos Ferros,True,232,1083,orgao_julgador
215,Juizado Especial Cível e Criminal da Comarca de Pau dos Ferros,True,233,1084,orgao_julgador
215,Juizado da Fazenda Pública da Comarca de Pau dos Ferros,True,234,1085,orgao_julgador
234,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Poço Branco",True,235,1086,orgao_julgador
234,Vara Única da Comarca de Poço Branco,True,236,1087,orgao_julgador
224,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de São João do Sabugi",True,237,1088,orgao_julgador
224,Vara Única da Comarca de São João do Sabugi,True,238,1089,orgao_julgador
198,Vara Única da Comarca de Jardim de Piranhas,True,239,1090,orgao_julgador
198,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Jardim de Piranhas",True,240,1091,orgao_julgador
199,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Jardim do Seridó",True,241,1092,orgao_julgador
199,Vara Única da Comarca de Jardim do Seridó,True,242,1093,orgao_julgador
193,Vara Única da Comarca de Cruzeta,True,243,1094,orgao_julgador
193,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Cruzeta",True,244,1095,orgao_julgador
207,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Martins",True,245,1096,orgao_julgador
207,Vara Única da Comarca de Martins,True,246,1097,orgao_julgador
209,2º Vara de Família da Comarca de Mossoró,True,248,1098,orgao_julgador
209,3º Vara da Fazenda Pública da Comarca de Mossoró,True,249,1099,orgao_julgador
181,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Acari",True,250,1100,orgao_julgador
181,Vara Única da Comarca de Acari,True,251,1101,orgao_julgador
212,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Parelhas",True,252,1102,orgao_julgador
212,Vara Única da Comarca de Parelhas,True,253,1103,orgao_julgador
